file,constant_name,name,year,photo,quote,role,image,position,major,class,gender,title,email,bio,specializations,id,specialization,phone,education,achievements,awards,credentials,linkedin,specialties,research
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs11-main/src/pages/Home.tsx,student,Sarah Chen,,https://images.unsplash.com/photo-1680983387172-aedb346ba443?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMHdvbWFuJTIwc3R1ZGVudCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzQ3MjM2Nnww&ixlib=rb-4.1.0&q=80&w=1080,The CS program gave me the skills and confidence to land my dream job at Google. The hands-on projects and supportive faculty made all the difference.,Software Engineer at Google,,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs11-main/src/pages/Home.tsx,student,Marcus Johnson,,https://images.unsplash.com/photo-1624918479892-3e5df2910410?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMG1hbiUyMHN0dWRlbnQlMjBwb3J0cmFpdHxlbnwxfHx8fDE3NjM0NzIzNjZ8MA&ixlib=rb-4.1.0&q=80&w=1080,I came in with no coding experience and graduated with multiple internship offers. The professors genuinely care about student success.,Data Scientist at Microsoft,,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs11-main/src/pages/Home.tsx,student,Priya Sharma,,https://images.unsplash.com/photo-1621962366578-7364ccb3352b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxhc2lhbiUyMHN0dWRlbnQlMjBwb3J0cmFpdHxlbnwxfHx8fDE3NjMzNjQwODZ8MA&ixlib=rb-4.1.0&q=80&w=1080,The collaborative environment and research opportunities helped me discover my passion for machine learning. I'm now pursuing my PhD!,"PhD Candidate, ML Research",,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs12-main/src/components/pages/Home.tsx,student,Sarah Martinez,Class of 2024,,The CS program here has given me the skills and confidence to pursue my dream of becoming a software engineer. The hands-on projects and supportive faculty made all the difference.,,https://images.unsplash.com/photo-1633381182794-01b10764b431?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBzdHVkZW50JTIwcG9ydHJhaXR8ZW58MXx8fHwxNzYzNDEwNDc0fDA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs12-main/src/components/pages/Home.tsx,student,Marcus Chen,Class of 2025,,What sets this program apart is the emphasis on real-world applications. I landed an internship at a Fortune 500 company thanks to the skills I developed here.,,https://images.unsplash.com/photo-1729697967428-5b98d11486a5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwc3R1ZGVudCUyMHBvcnRyYWl0fGVufDF8fHx8MTc2MzQwODg2NHww&ixlib=rb-4.1.0&q=80&w=1080,,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs12-main/src/components/pages/Home.tsx,student,Emily Thompson,Class of 2023,,The collaborative environment and cutting-edge curriculum prepared me for graduate school at MIT. I couldn't have asked for a better foundation.,,https://images.unsplash.com/photo-1654027879796-b9dee8caabb6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMHN0dWRlbnQlMjBwb3J0cmFpdHxlbnwxfHx8fDE3NjMzNzUwNzZ8MA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs13-main/src/pages/Home.tsx,student,Sarah Chen,Class of 2024,https://images.unsplash.com/photo-1543061519-faf415012534?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBzdHVkZW50JTIwc3R1ZHlpbmd8ZW58MXx8fHwxNzYzNDc1NzY2fDA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,The CS program gave me the skills and confidence to land my dream job at Google. The faculty support and hands-on projects were invaluable.,,,Software Engineer at Google,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs13-main/src/pages/Home.tsx,student,Michael Rodriguez,Class of 2023,https://images.unsplash.com/photo-1556636530-6b7482d80e3d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxtYWxlJTIwc3R1ZGVudCUyMGNvZGluZ3xlbnwxfHx8fDE3NjM0NzU3Njd8MA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,"From day one, I was coding real applications. The curriculum is cutting-edge and prepared me perfectly for the tech industry.",,,Full Stack Developer at Microsoft,,,m,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs13-main/src/pages/Home.tsx,student,Emily Johnson,Class of 2024,https://images.unsplash.com/photo-1600180758890-6b94519a8ba6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHx5b3VuZyUyMHN0dWRlbnQlMjBwb3J0cmFpdCUyMHByb2Zlc3Npb25hbHxlbnwxfHx8fDE3NjM0NzU3NjZ8MA&ixlib=rb-4.1.0&q=80&w=1080&utm_source=figma&utm_medium=referral,The research opportunities and mentorship from professors helped me discover my passion for artificial intelligence and machine learning.,,,AI Research Engineer at IBM,,,f,,,,,,,,,,,,,,
/Users/mariamlocka/Documents/AI_interfaces_bias/data_input/Figma/computer_science/Cs14-main/src/components/pages/Home.tsx,student,Sarah Chen,,,The CS program gave me the skills and confidence to land my dream job at a top tech company. The faculty mentorship and hands-on projects were invaluable.,"Class of 2024, Software Engineer at Google",https://images.unsplash.com/photo-1757876506562-0b0087ab3dcd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Nzg4Nzd8MHwxfHNlYXJjaHwxfHxmZW1hbGUlMjBjb2xsZWdlJTIwc3R1ZGVudHxlbnwxfHx8fDE3NjM0NzU3MjV8MA&ixlib=rb-4.1.0&q=80&w=1080,,,,f,,,,,,,,,,,,,,
